raw_id,cluster_index,merge_type,ID,survived
3879,0,seed,1.0,True
3782,0,merged,1.0,True
165,1,seed,2.0,True
169,1,merged,2.0,True
3985,0,merged,1.0,True
3676,0,merged,1.0,True
187,1,merged,2.0,True
184,1,merged,2.0,True
149,1,merged,2.0,True
144,1,merged,2.0,True
204,1,merged,2.0,True
207,1,merged,2.0,True
127,1,merged,2.0,True
131,1,merged,2.0,True
150,1,merged,2.0,True
145,1,merged,2.0,True
4091,0,merged,1.0,True
115,1,merged,2.0,True
112,1,merged,2.0,True
227,1,merged,2.0,True
224,1,merged,2.0,True
3570,0,merged,1.0,True
4201,0,merged,1.0,True
98,1,merged,2.0,True
102,1,merged,2.0,True
4200,2,seed,3.0,True
250,1,merged,2.0,True
4312,2,merged,3.0,True
3986,2,merged,3.0,True
4090,2,merged,3.0,True
246,1,merged,2.0,True
4313,0,merged,1.0,True
6013,3,seed,4.0,True
3461,0,merged,1.0,True
3989,4,seed,5.0,True
5892,3,merged,4.0,True
3878,2,merged,3.0,True
6133,3,merged,4.0,True
4427,2,merged,3.0,True
3781,2,merged,3.0,True
5772,3,merged,4.0,True
4094,4,merged,5.0,True
6260,3,merged,4.0,True
3882,4,merged,5.0,True
3356,0,merged,1.0,True
278,5,seed,6.0,True
3057,6,seed,7.0,True
186,7,seed,8.0,True
183,7,merged,8.0,True
3156,6,merged,7.0,True
4204,4,merged,5.0,True
164,7,merged,8.0,True
168,7,merged,8.0,True
6383,3,merged,4.0,True
4536,2,merged,3.0,True
4316,4,merged,5.0,True
3864,0,merged,1.0,True
3762,0,merged,1.0,True
3784,4,merged,5.0,True
2664,8,seed,9.0,True
3675,2,merged,3.0,True
5659,3,merged,4.0,True
4430,4,merged,5.0,True
3256,6,merged,7.0,True
2954,6,merged,7.0,True
2850,8,merged,9.0,True
5547,3,merged,4.0,True
3658,0,merged,1.0,True
5432,3,merged,4.0,True
304,5,merged,6.0,True
2756,8,merged,9.0,True
2573,8,merged,9.0,True
4426,0,merged,1.0,True
3969,0,merged,1.0,True
206,7,merged,8.0,True
203,7,merged,8.0,True
4647,2,merged,3.0,True
2951,8,merged,9.0,True
2488,9,seed,10.0,True
143,7,merged,8.0,True
148,7,merged,8.0,True
2759,6,merged,7.0,True
3251,0,merged,1.0,True
3054,8,merged,9.0,True
3150,10,seed,11.0,True
6506,3,merged,4.0,True
82,11,seed,12.0,True
87,11,merged,12.0,True
274,5,merged,6.0,True
3678,4,merged,5.0,True
2486,8,merged,9.0,True
3360,6,merged,7.0,True
2577,9,merged,10.0,True
226,7,merged,8.0,True
223,7,merged,8.0,True
2668,9,merged,10.0,True
4540,4,merged,5.0,True
5318,3,merged,4.0,True
