slice_index,z_cen,slice_half_width,n_galaxies,n_peaks
1,0.01,0.0303,2595,12
2,0.02,0.0306,4023,9
3,0.03,0.0309,5821,9
4,0.04,0.0312,7946,6
5,0.05,0.0315,9897,9
6,0.06,0.0318,11943,12
7,0.07,0.0321,14041,18
8,0.08,0.0324,16299,15
9,0.09,0.0327,18356,14
10,0.1,0.033,19953,12
11,0.11,0.0333,21255,16
12,0.12,0.0336,22261,19
13,0.13,0.0339,22698,19
14,0.14,0.0342,22590,18
15,0.15,0.0345,21897,20
16,0.16,0.0348,21081,20
17,0.17,0.0351,20200,23
18,0.18,0.0354,19566,27
19,0.19,0.0357,18650,26
20,0.2,0.036,17494,31
21,0.21,0.0363,16478,30
22,0.22,0.0366,15494,37
23,0.23,0.0369,14982,36
24,0.24,0.0372,14625,36
25,0.25,0.0375,14102,35
26,0.26,0.0378,13762,39
27,0.27,0.0381,14052,36
28,0.28,0.0384,14465,38
29,0.29,0.0387,15115,41
30,0.3,0.039,16108,46
31,0.31,0.0393,16598,51
32,0.32,0.0396,16916,47
33,0.33,0.0399,17259,54
34,0.34,0.0402,17240,53
35,0.35,0.0405,16877,54
36,0.36,0.0408,16403,55
37,0.37,0.0411,15694,60
38,0.38,0.0414,14668,62
39,0.39,0.0417,14129,65
40,0.4,0.042,13877,66
41,0.41,0.0423,13631,70
42,0.42,0.0426,13641,70
43,0.43,0.0429,13849,68
44,0.44,0.0432,14120,67
45,0.45,0.0435,14643,69
46,0.46,0.0438,15423,69
47,0.47,0.0441,16188,74
48,0.48,0.0444,17258,80
49,0.49,0.0447,18319,81
50,0.5,0.045,19488,78
51,0.51,0.0453,20927,78
52,0.52,0.0456,22987,72
53,0.53,0.0459,25463,82
54,0.54,0.0462,28413,84
55,0.55,0.0465,31785,85
56,0.56,0.0468,35346,86
57,0.57,0.0471,37774,89
58,0.58,0.0474,39184,92
59,0.59,0.0477,39770,93
60,0.6,0.048,40112,93
61,0.61,0.0483,40738,102
62,0.62,0.0486,41318,102
63,0.63,0.0489,41145,99
64,0.64,0.0492,40492,100
65,0.65,0.0495,39754,104
66,0.66,0.0498,38891,106
67,0.67,0.0501,39428,108
68,0.68,0.0504,40516,104
69,0.69,0.0507,41693,106
70,0.7,0.051,42344,98
71,0.71,0.0513,41972,107
72,0.72,0.0516,41248,105
73,0.73,0.0519,40485,110
74,0.74,0.0522,39907,112
75,0.75,0.0525,38913,113
76,0.76,0.0528,37453,111
77,0.77,0.0531,36035,110
78,0.78,0.0534,33955,110
79,0.79,0.0537,32809,112
