ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
137,28.11997,-48.088066,0.9,1.855,0.4,15,0.83,0.97,0.9,0.83-0.97,1.2,7.834,0.4|0.8|1.2,129,False,unmatched,3053.3466066797323
138,30.820705,-47.272049,0.53,1.852,0.4,13,0.47,0.59,0.53,0.47-0.59,1.2,9.334,0.4|0.8|1.2,189,True,matched,1985.9398259352438
438,30.772306,-47.303791,0.66,1.442,0.4,13,0.6,0.72,0.66,0.60-0.72,1.2,8.862,0.4|0.8|1.2,132,False,unmatched,2388.1167369345444
504,30.932476,-47.221088,0.5,1.384,0.4,9,0.44,0.55,0.5,0.44-0.55,1.2,7.16,0.4|0.8|1.2,115,True,matched,1888.62539593342
593,29.176918,-46.922947,0.48,1.311,0.4,11,0.43,0.53,0.48,0.43-0.53,1.2,7.754,0.4|0.8|1.2,112,True,matched,1822.7831032574256
685,29.528107,-47.190681,0.44,1.255,0.4,11,0.39,0.49,0.44,0.39-0.49,1.2,7.163,0.4|0.8|1.2,114,True,matched,1688.7503234479443
731,29.58816,-47.228111,0.5,1.23,0.4,11,0.45,0.55,0.5,0.45-0.55,1.2,6.471,0.4|0.8|1.2,129,True,matched,1888.62539593342
817,29.517532,-47.148373,0.51,1.183,0.4,11,0.46,0.57,0.51,0.46-0.57,1.2,6.019,0.4|0.8|1.2,112,False,unmatched,1921.2558794085778
907,31.056957,-47.170006,0.5,1.14,0.4,12,0.44,0.55,0.5,0.44-0.55,1.2,6.031,0.4|0.8|1.2,140,True,matched,1888.62539593342
933,29.685366,-48.87307,0.54,1.127,0.4,13,0.48,0.6,0.54,0.48-0.60,1.2,4.996,0.4|0.8|1.2,143,True,matched,2017.9950639141682
978,30.864489,-47.297604,0.46,1.112,0.4,9,0.41,0.49,0.46,0.41-0.49,1.2,6.835,0.4|0.8|1.2,110,True,matched,1756.1601906473902
998,28.642084,-47.587135,0.37,1.105,0.4,11,0.32,0.42,0.37,0.32-0.42,1.2,6.506,0.4|0.8|1.2,110,False,unmatched,1446.535764619144
1024,30.064312,-48.367188,0.54,1.094,0.4,13,0.48,0.6,0.54,0.48-0.60,1.2,5.071,0.4|0.8|1.2,121,False,unmatched,2017.9950639141682
1239,28.95495,-47.300613,0.46,1.029,0.4,11,0.41,0.51,0.46,0.41-0.51,1.2,5.947,0.4|0.8|1.2,125,True,matched,1756.1601906473902
1311,29.826216,-48.853176,0.36,1.009,0.4,11,0.31,0.41,0.36,0.31-0.41,1.2,5.619,0.4|0.8|1.2,127,True,matched,1411.1277029460277
1406,30.096979,-48.474174,0.55,0.987,0.4,13,0.49,0.61,0.55,0.49-0.61,1.2,4.543,0.4|0.8|1.2,130,True,matched,2049.860355707472
1600,29.90143,-48.532211,0.57,0.94,0.4,13,0.51,0.63,0.57,0.51-0.63,1.2,4.251,0.4|0.8|1.2,136,True,matched,2113.024824528737
1690,29.85458,-48.57682,0.5,0.924,0.4,7,0.44,0.5,0.5,0.44-0.50,1.2,3.913,0.4|0.8|1.2,133,True,matched,1888.62539593342
1716,30.00823,-48.611202,0.47,0.918,0.4,11,0.42,0.52,0.47,0.42-0.52,1.2,4.152,0.4|0.8|1.2,152,True,matched,1789.5696283483735
1772,29.966654,-48.505585,0.44,0.905,0.4,11,0.39,0.49,0.44,0.39-0.49,1.2,4.188,0.4|0.8|1.2,153,True,matched,1688.7503234479443
1857,29.844378,-48.860458,0.3,0.888,0.4,6,0.25,0.3,0.3,0.25-0.30,1.2,5.727,0.4|0.8|1.2,122,True,matched,1194.3968697152304
1858,28.346231,-48.112324,0.39,0.887,0.4,11,0.34,0.44,0.39,0.34-0.44,1.2,4.566,0.4|0.8|1.2,110,False,unmatched,1516.7444490280252
1966,28.244514,-48.387959,0.39,0.867,0.4,11,0.34,0.44,0.39,0.34-0.44,1.2,4.822,0.4|0.8|1.2,111,True,matched,1516.7444490280252
1976,28.144144,-48.148537,0.38,0.866,0.4,11,0.33,0.43,0.38,0.33-0.43,1.2,4.759,0.4|0.8|1.2,116,False,unmatched,1481.741164434178
2229,29.729811,-48.901028,0.47,0.82,1.2,8,0.42,0.5,0.47,0.42-0.50,1.2,5.53,0.4|0.8|1.2,134,True,matched,1789.5696283483735
2389,29.708141,-48.980637,0.38,0.79,0.4,11,0.33,0.43,0.38,0.33-0.43,1.2,4.271,0.4|0.8|1.2,115,True,matched,1481.741164434178
2650,29.014538,-48.268726,0.33,0.749,0.4,9,0.28,0.36,0.33,0.28-0.36,1.2,4.389,0.4|0.8|1.2,111,True,matched,1303.6825529096675
2883,30.146097,-48.45599,0.48,0.716,0.4,6,0.43,0.48,0.48,0.43-0.48,1.2,3.445,0.4|0.8|1.2,121,True,matched,1822.7831032574256
2905,28.29903,-48.245853,0.32,0.713,0.4,11,0.27,0.37,0.32,0.27-0.37,1.2,3.978,0.4|0.8|1.2,134,True,matched,1267.4590146929418
3122,28.114424,-48.190247,0.31,0.684,1.2,7,0.26,0.32,0.31,0.26-0.32,1.2,6.823,0.4|0.8|1.2,129,True,matched,1231.0305684701946
3142,28.687584,-48.382591,0.31,0.682,0.4,11,0.26,0.36,0.31,0.26-0.36,1.2,4.11,0.4|0.8|1.2,115,True,matched,1231.0305684701946
3711,29.053925,-48.284817,0.21,0.606,0.4,9,0.17,0.25,0.21,0.17-0.25,1.2,4.973,0.4|0.8|1.2,135,False,unmatched,855.4196815536266
3748,28.177483,-48.307922,0.28,0.601,0.8,11,0.23,0.33,0.28,0.23-0.33,1.2,5.402,0.4|0.8|1.2,124,True,matched,1120.5125242773124
3856,28.441462,-48.4319,0.15,0.588,0.4,9,0.11,0.19,0.15,0.11-0.19,1.2,6.749,0.4|0.8|1.2,130,True,matched,620.1499468186294
3944,28.234867,-48.309353,0.21,0.579,1.2,9,0.17,0.25,0.21,0.17-0.25,1.2,7.511,0.4|0.8|1.2,138,False,unmatched,855.4196815536266
4483,29.460661,-48.848251,0.32,0.515,0.4,11,0.27,0.37,0.32,0.27-0.37,1.2,3.197,0.4|0.8|1.2,110,True,matched,1267.4590146929418
4508,28.198639,-48.277653,0.16,0.512,1.2,9,0.12,0.2,0.16,0.12-0.20,1.2,7.807,0.4|0.8|1.2,139,False,unmatched,659.8759292968958
4512,29.473871,-48.962963,0.22,0.512,0.4,9,0.18,0.26,0.22,0.18-0.26,1.2,4.68,0.4|0.8|1.2,111,True,matched,893.9096513033203
4752,28.553682,-48.37413,0.32,0.489,1.2,11,0.27,0.37,0.32,0.27-0.37,1.2,4.406,0.4|0.8|1.2,113,True,matched,1267.4590146929418
4773,28.985512,-48.268433,0.16,0.487,1.2,9,0.12,0.2,0.16,0.12-0.20,1.2,6.577,0.4|0.8|1.2,138,True,matched,659.8759292968958
5186,28.247414,-48.245865,0.11,0.442,0.4,8,0.07,0.15,0.11,0.07-0.15,1.2,7.024,0.4|0.8|1.2,128,True,matched,459.2006284992677
5377,28.52017,-48.43906,0.1,0.423,0.4,6,0.06,0.14,0.1,0.06-0.14,1.2,7.099,0.4|0.8|1.2,125,True,matched,418.4544876277049
