ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
161,178.487213,59.259167,0.79,1.794,0.4,15,0.72,0.86,0.79,0.72-0.86,1.2,7.915,0.4|0.8|1.2,98,True,matched,2760.2246031583595
177,178.206741,59.797123,0.6,1.76,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,13.079,0.4|0.8|1.2,96,False,unmatched,2206.3705696711404
192,178.569382,59.306309,0.86,1.732,0.4,15,0.79,0.93,0.86,0.79-0.93,1.2,8.355,0.4|0.8|1.2,93,False,unmatched,2948.960140361127
233,182.409897,60.008121,0.4,1.648,0.4,11,0.35,0.45,0.4,0.35-0.45,1.2,13.162,0.4|0.8|1.2,96,True,matched,1551.5461950979236
355,181.068741,60.912518,0.65,1.495,0.4,13,0.59,0.71,0.65,0.59-0.71,1.2,6.877,0.4|0.8|1.2,117,False,unmatched,2358.276827708564
389,178.402527,59.254913,0.32,1.456,0.4,11,0.27,0.37,0.32,0.27-0.37,1.2,11.346,0.4|0.8|1.2,141,True,matched,1267.4590146929418
423,181.071625,59.576172,0.45,1.429,0.4,11,0.4,0.5,0.45,0.40-0.50,1.2,9.893,0.4|0.8|1.2,93,True,matched,1722.5540087437778
488,180.942032,60.684658,0.82,1.374,0.4,15,0.75,0.89,0.82,0.75-0.89,1.2,6.022,0.4|0.8|1.2,95,True,matched,2842.0730964788704
493,181.171799,59.527775,0.33,1.366,0.4,11,0.28,0.38,0.33,0.28-0.38,1.2,12.094,0.4|0.8|1.2,94,True,matched,1303.6825529096675
571,181.048096,60.912872,0.72,1.31,0.4,7,0.72,0.78,0.72,0.72-0.78,1.2,5.285,0.4|0.8|1.2,118,False,unmatched,2563.454834352791
674,179.699448,60.81234,0.81,1.253,0.4,15,0.74,0.88,0.81,0.74-0.88,1.2,5.315,0.4|0.8|1.2,93,True,matched,2814.952401564263
1071,180.288925,60.941456,0.69,1.09,0.4,13,0.63,0.75,0.69,0.63-0.75,1.2,4.774,0.4|0.8|1.2,91,False,unmatched,2476.572553978146
1077,179.06366,60.091549,0.38,1.089,0.4,11,0.33,0.43,0.38,0.33-0.43,1.2,7.158,0.4|0.8|1.2,126,True,matched,1481.741164434178
1152,178.618622,59.315071,0.4,1.068,0.4,11,0.35,0.45,0.4,0.35-0.45,1.2,6.642,0.4|0.8|1.2,119,False,unmatched,1551.5461950979236
1187,178.464478,59.002724,0.58,1.052,0.4,13,0.52,0.64,0.58,0.52-0.64,1.2,5.237,0.4|0.8|1.2,93,True,matched,2144.325898937837
1324,182.64183,59.691982,0.26,1.006,0.4,11,0.21,0.31,0.26,0.21-0.31,1.2,9.885,0.4|0.8|1.2,109,True,matched,1045.8039879058433
1381,179.403793,59.959511,0.46,0.991,0.4,11,0.41,0.51,0.46,0.41-0.51,1.2,5.561,0.4|0.8|1.2,112,False,unmatched,1756.1601906473902
1387,180.102524,60.688175,0.6,0.99,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,4.471,0.4|0.8|1.2,96,False,unmatched,2206.3705696711404
1511,179.86557,60.729797,0.61,0.954,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,4.298,0.4|0.8|1.2,92,True,matched,2237.116139051666
1515,179.393387,60.088673,0.43,0.953,0.4,11,0.38,0.48,0.43,0.38-0.48,1.2,5.638,0.4|0.8|1.2,116,True,matched,1654.7483987274964
1600,179.146103,59.947262,0.29,0.935,0.4,11,0.24,0.34,0.29,0.24-0.34,1.2,6.514,0.4|0.8|1.2,122,True,matched,1157.5576112470376
1690,179.441681,59.902138,0.68,0.915,0.4,13,0.62,0.74,0.68,0.62-0.74,1.2,4.603,0.4|0.8|1.2,91,True,matched,2447.263542612278
1744,181.148758,60.261566,0.28,0.903,0.4,11,0.23,0.33,0.28,0.23-0.33,1.2,7.698,0.4|0.8|1.2,99,False,unmatched,1120.5125242773124
1765,178.992249,60.949829,0.32,0.898,0.4,11,0.27,0.37,0.32,0.27-0.37,1.2,7.409,0.4|0.8|1.2,93,True,matched,1267.4590146929418
1791,182.525879,59.564278,0.22,0.894,0.4,9,0.18,0.26,0.22,0.18-0.26,1.2,10.849,0.4|0.8|1.2,94,True,matched,893.9096513033203
1876,181.165085,59.694328,0.37,0.876,0.4,11,0.32,0.42,0.37,0.32-0.42,1.2,6.822,0.4|0.8|1.2,95,False,unmatched,1446.535764619144
1924,179.386475,59.854332,0.34,0.865,0.4,11,0.29,0.39,0.34,0.29-0.39,1.2,5.245,0.4|0.8|1.2,107,True,matched,1339.701563943128
2025,180.105392,60.843563,0.68,0.844,0.4,13,0.62,0.74,0.68,0.62-0.74,1.2,3.627,0.4|0.8|1.2,93,False,unmatched,2447.263542612278
2200,178.386612,59.257431,0.26,0.816,0.4,6,0.21,0.26,0.26,0.21-0.26,1.2,8.112,0.4|0.8|1.2,98,True,matched,1045.8039879058433
2543,180.963913,60.120911,0.26,0.767,0.4,11,0.21,0.31,0.26,0.21-0.31,1.2,6.862,0.4|0.8|1.2,92,True,matched,1045.8039879058433
3093,179.152939,59.988892,0.4,0.685,0.4,11,0.35,0.45,0.4,0.35-0.45,1.2,4.104,0.4|0.8|1.2,100,False,unmatched,1551.5461950979236
3185,179.487091,60.030697,0.4,0.672,0.4,6,0.35,0.4,0.4,0.35-0.40,1.2,3.998,0.4|0.8|1.2,103,True,matched,1551.5461950979236
3742,180.36647,59.757996,0.27,0.598,0.4,11,0.22,0.32,0.27,0.22-0.32,1.2,5.416,0.4|0.8|1.2,100,False,unmatched,1083.2613794549109
4211,179.292023,59.446301,0.22,0.544,0.4,9,0.18,0.26,0.22,0.18-0.26,1.2,5.117,0.4|0.8|1.2,92,True,matched,893.9096513033203
4523,180.578262,59.620827,0.21,0.51,0.4,9,0.17,0.25,0.21,0.17-0.25,1.2,5.58,0.4|0.8|1.2,97,True,matched,855.4196815536266
4956,180.404419,59.650608,0.13,0.456,0.4,9,0.09,0.17,0.13,0.09-0.17,1.2,6.445,0.4|0.8|1.2,110,True,matched,540.0834322456174
