ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
39,299.50885,-59.699139,0.44,1.431,0.4,8,0.42,0.49,0.44,0.42-0.49,1.2,9.081,0.4|0.8|1.2,94,True,matched,1688.7503234479443
76,301.047119,-59.711639,0.76,1.34,0.4,15,0.69,0.83,0.76,0.69-0.83,1.2,6.598,0.4|0.8|1.2,100,True,matched,2676.900412409958
107,299.510132,-59.698864,0.5,1.286,0.4,5,0.5,0.55,0.5,0.50-0.55,1.2,6.664,0.4|0.8|1.2,83,True,matched,1888.62539593342
147,300.319489,-58.865932,0.41,1.222,0.4,10,0.36,0.46,0.41,0.36-0.46,1.2,7.053,0.4|0.8|1.2,101,True,matched,1586.1470083834022
204,298.779022,-59.159462,0.21,1.152,0.4,9,0.17,0.25,0.21,0.17-0.25,1.2,10.277,0.4|0.8|1.2,172,True,matched,855.4196815536266
487,302.073853,-60.620583,0.36,0.998,0.4,10,0.31,0.41,0.36,0.31-0.41,1.2,7.991,0.4|0.8|1.2,88,True,matched,1411.1277029460277
631,301.04895,-59.70882,0.68,0.948,0.4,9,0.62,0.71,0.68,0.62-0.71,1.2,4.234,0.4|0.8|1.2,101,True,matched,2447.263542612278
656,298.574951,-60.940071,0.68,0.938,0.4,13,0.62,0.74,0.68,0.62-0.74,1.2,4.221,0.4|0.8|1.2,76,True,matched,2447.263542612278
681,301.462494,-60.64262,0.79,0.931,0.4,15,0.72,0.86,0.79,0.72-0.86,1.2,4.944,0.4|0.8|1.2,68,True,matched,2760.2246031583595
683,298.848938,-59.972473,0.67,0.931,0.4,13,0.61,0.73,0.67,0.61-0.73,1.2,4.543,0.4|0.8|1.2,76,True,matched,2417.778623816491
685,300.315216,-58.873756,0.48,0.93,0.4,7,0.47,0.53,0.48,0.47-0.53,1.2,5.145,0.4|0.8|1.2,83,True,matched,1822.7831032574256
