field_id,i_limit,input_rows_total,input_rows_kept,covered_true_clusters,candidates,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,match_csv,covered_cluster_csv,candidate_csv,input_fits
1,21.5,383964.0,70137,668,5952,608,0.9101796407185628,1562,0.26243279569892475,8.910179640718562,2097,1.024943033002639,0.041863245458702125,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_21p5/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_21p5/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_21p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_21p5_blindsearch_input.fits
1,22.0,383964.0,104504,668,7138,624,0.9341317365269461,1691,0.23690109274306528,10.68562874251497,2256,1.0305247570145886,0.04153047929395298,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_22p0_blindsearch_input.fits
1,22.5,383964.0,152357,668,8139,637,0.9535928143712575,1762,0.21648851210222386,12.184131736526947,2344,1.036254647811299,0.04101135030982703,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p5/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p5/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_22p5_blindsearch_input.fits
1,23.0,383964.0,216663,668,8596,636,0.9520958083832335,1836,0.2135877152163797,12.868263473053892,2425,1.0377425580769448,0.04299135411200028,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_23p0/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_23p0/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_23p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_23p0_blindsearch_input.fits
1,23.5,383964.0,289945,668,8707,634,0.9491017964071856,1861,0.21373607442287815,13.034431137724551,2438,1.036364564445147,0.04279574040159631,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_23p5/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_23p5/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_23p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_23p5_blindsearch_input.fits
1,24.0,383964.0,342669,668,8687,626,0.937125748502994,1813,0.20870265914585012,13.004491017964073,2388,1.0404703269553965,0.04243704886808075,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_24p0/field01_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_24p0/field01_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_24p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field01/csst_field_01_full7band_i_lt_24p0_blindsearch_input.fits
2,21.5,787461.0,150542,939,8753,882,0.939297124600639,2364,0.270078830115389,9.321618743343983,3061,1.0121842288980218,0.041440566680966295,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_21p5/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_21p5/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_21p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_21p5_blindsearch_input.fits
2,22.0,787461.0,221185,939,10379,896,0.9542066027689031,2524,0.2431833509972059,11.05324813631523,3243,1.0185956256338726,0.04204575333370597,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_22p0/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_22p0/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_22p0_blindsearch_input.fits
2,22.5,787461.0,316690,939,11470,907,0.9659211927582535,2664,0.23225806451612904,12.215122470713524,3436,1.0228297777907418,0.042510618206099915,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_22p5/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_22p5/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_22p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_22p5_blindsearch_input.fits
2,23.0,787461.0,446995,939,11768,900,0.9584664536741214,2692,0.22875594833446636,12.53248136315229,3438,1.0097821744963382,0.04225366066651559,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_23p0/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_23p0/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_23p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_23p0_blindsearch_input.fits
