n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit
3,4398,557,0.8338323353293413,1357,0.3085493406093679,6.583832335329341,1844,1.0236865419906447,0.040078621747195564,1,21.5
5,3402,519,0.7769461077844312,1172,0.3445032333921223,5.092814371257485,1627,1.0378983723668573,0.039175647190362484,1,21.5
7,2768,488,0.7305389221556886,1005,0.36307803468208094,4.1437125748503,1420,1.0347709151795064,0.03825444273044987,1,21.5
10,2174,452,0.6766467065868264,834,0.38362465501379944,3.254491017964072,1189,1.0201145145629054,0.038129626335499156,1,21.5
15,1606,403,0.6032934131736527,624,0.38854296388542964,2.404191616766467,911,1.0030686597903322,0.03746589981556925,1,21.5
20,1237,358,0.5359281437125748,506,0.40905416329830235,1.8517964071856288,743,0.9957338509343384,0.03739325615837508,1,21.5
30,813,278,0.4161676646706587,364,0.44772447724477243,1.217065868263473,548,0.982609144489149,0.035489818006486096,1,21.5
50,343,179,0.2679640718562874,191,0.5568513119533528,0.5134730538922155,320,0.9472032910913928,0.03226658118357725,1,21.5
80,92,73,0.1092814371257485,68,0.7391304347826086,0.1377245508982036,126,0.9209183723470525,0.032027719463860155,1,21.5
100,33,34,0.05089820359281437,27,0.8181818181818182,0.04940119760479042,59,0.9239492354152546,0.036352570518943805,1,21.5
3,5567,588,0.8802395209580839,1534,0.27555236213400397,8.333832335329342,2070,1.0256355022739632,0.04044461396350513,1,22.0
5,4600,567,0.8488023952095808,1408,0.3060869565217391,6.88622754491018,1918,1.0239119455710028,0.039619524212948315,1,22.0
7,3828,545,0.8158682634730539,1251,0.3268025078369906,5.730538922155689,1708,1.0211873292421234,0.03889001122406932,1,22.0
10,3070,501,0.75,1059,0.3449511400651466,4.595808383233533,1463,1.0195496305121075,0.038877703152373266,1,22.0
15,2298,449,0.6721556886227545,826,0.35944299390774587,3.440119760479042,1142,1.0138598298756247,0.038923196920469694,1,22.0
20,1868,413,0.6182634730538922,693,0.37098501070663814,2.7964071856287425,959,1.0049844682298275,0.039026671868460816,1,22.0
30,1282,346,0.5179640718562875,514,0.40093603744149764,1.9191616766467066,740,1.0037457589188454,0.03802713907499461,1,22.0
50,656,255,0.38173652694610777,309,0.47103658536585363,0.9820359281437125,471,0.9980735633077175,0.036352570518943805,1,22.0
80,173,113,0.1691616766467066,108,0.6242774566473989,0.25898203592814373,191,0.9342078674821833,0.03266904019016956,1,22.0
100,74,65,0.09730538922155689,57,0.7702702702702703,0.11077844311377245,109,0.9605366979088352,0.03312146560946476,1,22.0
3,6943,625,0.9356287425149701,1674,0.24110615007921649,10.3937125748503,2241,1.0364041499785552,0.040480237429131094,1,22.5
5,6042,610,0.9131736526946108,1591,0.2633234028467395,9.044910179640718,2147,1.0361051456440429,0.04006681723444849,1,22.5
7,5200,591,0.8847305389221557,1475,0.28365384615384615,7.7844311377245505,2007,1.0321452422729407,0.03952249603025759,1,22.5
10,4281,566,0.8473053892215568,1286,0.3003971034804952,6.408682634730539,1767,1.0361051456440429,0.03894407454517401,1,22.5
15,3200,516,0.7724550898203593,1014,0.316875,4.790419161676646,1397,1.0321452422729407,0.037663814201014056,1,22.5
20,2609,473,0.7080838323353293,860,0.32962821004216175,3.905688622754491,1181,1.0318609927254283,0.038089288334033244,1,22.5
30,1919,406,0.6077844311377245,673,0.35070349140177176,2.872754491017964,944,1.02211677249406,0.038060736699243536,1,22.5
50,1076,319,0.47754491017964074,429,0.3986988847583643,1.6107784431137724,629,1.0154537553736471,0.03733095980983045,1,22.5
80,382,179,0.2679640718562874,187,0.4895287958115183,0.5718562874251497,301,0.9557035540970809,0.03352449125599305,1,22.5
100,151,115,0.1721556886227545,90,0.5960264900662252,0.22604790419161677,170,0.9580265757654087,0.033627251353125304,1,22.5
3,8062,630,0.9431137724550899,1806,0.22401389233440833,12.068862275449101,2391,1.040696911325247,0.04284969734027322,1,23.0
5,7314,624,0.9341317365269461,1750,0.2392671588733935,10.949101796407186,2324,1.0388504352985268,0.04244007845939107,1,23.0
7,6595,617,0.9236526946107785,1667,0.2527672479150872,9.872754491017965,2231,1.0357782326600626,0.0417078272588558,1,23.0
10,5619,591,0.8847305389221557,1480,0.2633920626445987,8.411676646706587,1994,1.035318897205451,0.0411413892520098,1,23.0
15,4337,550,0.8233532934131736,1204,0.2776112520175236,6.49251497005988,1626,1.0310433820247757,0.040676614497736206,1,23.0
20,3606,520,0.7784431137724551,1026,0.28452579034941766,5.3982035928143715,1395,1.0283359494020854,0.04058327929301281,1,23.0
30,2778,473,0.7080838323353293,843,0.30345572354211664,4.158682634730539,1157,1.0169345846439781,0.03984195374793148,1,23.0
50,1617,389,0.5823353293413174,575,0.3555967841682127,2.4206586826347305,818,1.0089574281186464,0.04071430668878145,1,23.0
80,777,257,0.3847305389221557,303,0.38996138996138996,1.1631736526946108,442,0.9787195998452105,0.04081796809519986,1,23.0
100,382,169,0.25299401197604793,176,0.4607329842931937,0.5718562874251497,276,0.9522809878427687,0.04252059745473577,1,23.0
3,8501,630,0.9431137724550899,1852,0.21785672273850135,12.726047904191617,2427,1.0362131059122628,0.04266743252952321,1,23.5
5,8089,626,0.937125748502994,1823,0.22536778340956856,12.109281437125748,2394,1.0383872468442097,0.042392546110294915,1,23.5
7,7527,623,0.9326347305389222,1765,0.2344891723130065,11.267964071856287,2329,1.0425067527668586,0.041863245458702125,1,23.5
10,6618,603,0.9026946107784432,1605,0.242520398912058,9.907185628742514,2125,1.0437418618386856,0.042125942963314955,1,23.5
15,5330,567,0.8488023952095808,1367,0.25647279549718577,7.979041916167665,1812,1.0468346920570624,0.041664738026135434,1,23.5
20,4383,545,0.8158682634730539,1130,0.25781428245493954,6.561377245508982,1510,1.0435248833862423,0.04269570787177043,1,23.5
30,3431,508,0.7604790419161677,921,0.2684348586417954,5.13622754491018,1239,1.0303804906810712,0.04244595602879353,1,23.5
50,2289,438,0.655688622754491,688,0.3005679335954565,3.4266467065868262,947,1.0074112381158191,0.0423031076755187,1,23.5
80,1188,307,0.4595808383233533,399,0.33585858585858586,1.778443113772455,564,0.9911860185949865,0.04206542888921838,1,23.5
100,745,233,0.34880239520958084,276,0.3704697986577181,1.1152694610778444,407,0.9823950632107321,0.041640762207975024,1,23.5
3,8569,625,0.9356287425149701,1807,0.21087641498424553,12.827844311377245,2382,1.0404703269553965,0.04244595602879353,1,24.0
5,8327,624,0.9341317365269461,1791,0.21508346343220847,12.465568862275449,2363,1.0407511446314452,0.04236349345199264,1,24.0
7,7903,621,0.9296407185628742,1759,0.22257370618752373,11.830838323353293,2328,1.0407374887155383,0.04237801978114378,1,24.0
10,7109,609,0.9116766467065869,1632,0.22956815304543537,10.642215568862275,2174,1.0418711094654776,0.042606743841624994,1,24.0
15,5870,567,0.8488023952095808,1387,0.2362862010221465,8.7874251497006,1850,1.0424778499259504,0.04282162533957761,1,24.0
20,4877,542,0.811377245508982,1163,0.23846627024810335,7.300898203592815,1554,1.0354328447899903,0.043528941458695986,1,24.0
30,3829,509,0.7619760479041916,937,0.24471141290154086,5.732035928143713,1271,1.0257590313457456,0.043479429358437294,1,24.0
50,2625,447,0.6691616766467066,709,0.2700952380952381,3.929640718562874,978,1.0088332493076158,0.04382993152546594,1,24.0
80,1467,325,0.4865269461077844,418,0.2849352419904567,2.196107784431138,591,0.9902032735922257,0.04582213986591471,1,24.0
100,965,240,0.3592814371257485,284,0.29430051813471503,1.4446107784431137,404,0.9801934467117557,0.046082982937467015,1,24.0
3,6920,839,0.8935037273695421,2178,0.3147398843930636,7.369542066027689,2852,1.0115675250227247,0.04027601914430401,2,21.5
5,5728,792,0.8434504792332268,1988,0.3470670391061452,6.10010649627263,2626,1.0104869121117876,0.039564887441631114,2,21.5
7,4678,746,0.7944621938232161,1772,0.3787943565626336,4.981895633652822,2363,1.000899746998815,0.03843438861690096,2,21.5
10,3700,687,0.731629392971246,1490,0.4027027027027027,3.9403620873269434,2022,0.9918612785308272,0.03734488763515592,2,21.5
15,2774,617,0.6570820021299254,1177,0.42429704397981255,2.954206602768903,1599,0.9438702224869228,0.03622493294544149,2,21.5
20,2133,573,0.610223642172524,946,0.4435067979371777,2.2715654952076676,1308,0.935520886771686,0.0366290616760068,2,21.5
30,1624,513,0.5463258785942492,778,0.479064039408867,1.7294994675186368,1087,0.9100680197158921,0.03569539408231191,2,21.5
50,896,378,0.402555910543131,477,0.5323660714285714,0.9542066027689031,698,0.890704147742783,0.034033949911145334,2,21.5
