cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
baseline: i<22.0+n_members>=7,4590,1872,956,0.8047138047138047,0.40784313725490196,3.8636363636363638,0.5413304585497588
PPM_richness/(rmax^2*z_rms) >= 75.088,3394,1491,826,0.6952861952861953,0.43930465527401297,2.856902356902357,0.5384186946090193
PPM_significance >= 2.4423 & PPM_richness >= 9,3209,1446,794,0.6683501683501684,0.45060766593954504,2.701178451178451,0.538293222785723
PPM_richness >= 7,3727,1609,849,0.7146464646464646,0.43171451569627045,3.137205387205387,0.5382654463459827
PPM_richness >= 9,3476,1540,814,0.6851851851851852,0.4430379746835443,2.925925925925926,0.5381259089964678
PPM_significance >= 2.4423 & PPM_richness >= 7,3413,1498,824,0.6936026936026936,0.43891004980955173,2.872895622895623,0.5376172490208923
PPM_significance >= 2.269 & PPM_richness >= 9,3343,1490,803,0.6759259259259259,0.44570744839964105,2.813973063973064,0.5371901846853632
PPM_richness >= 6,3841,1636,863,0.7264309764309764,0.4259307472012497,3.233164983164983,0.5370002877327892
PPM_significance >= 2.269 & PPM_richness >= 7,3574,1550,834,0.702020202020202,0.4336877448237269,3.008417508417508,0.5361546673700923
PPM_richness/rmax^2 >= 3.136,3838,1624,864,0.7272727272727273,0.42313705054716,3.2306397306397305,0.5350024707626421
PPM_richness/(rmax^2*z_rms) >= 48.934,3839,1618,868,0.7306397306397306,0.42146392289658763,3.2314814814814814,0.534566983021584
PPM_significance >= 2.6151 & PPM_richness >= 9,3030,1371,774,0.6515151515151515,0.4524752475247525,2.5505050505050506,0.5340526144146103
PPM_significance >= 2.4423 & PPM_richness >= 6,3499,1511,831,0.6994949494949495,0.43183766790511574,2.9452861952861955,0.5340043468303671
PPM_richness/rmax^2 >= 5.003,3349,1476,804,0.6767676767676768,0.44072857569423707,2.819023569023569,0.5338198738485372
PPM_richness/(rmax^2*z_rms) >= 61.174,3636,1551,847,0.7129629629629629,0.4265676567656766,3.0606060606060606,0.5337758112094396
PPM_significance >= 2.269 & PPM_richness >= 6,3678,1570,845,0.7112794612794613,0.42686242523110385,3.095959595959596,0.5335336120344174
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.09906,3647,1549,852,0.7171717171717171,0.42473265697833834,3.06986531986532,0.5335057047500776
PPM_richness/rmax^2 >= 4.002,3698,1573,849,0.7146464646464646,0.4253650621957815,3.112794612794613,0.5333027442702412
PPM_significance >= 2.6151 & PPM_richness >= 7,3206,1415,798,0.6717171717171717,0.44135995009357454,2.6986531986531985,0.532701735714043
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.09405,3445,1473,838,0.7053872053872053,0.4275761973875181,2.8998316498316496,0.5324210441866152
PPM_richness/rmax^2 >= 5.003 & PPM_z_rms <= 0.09906,3175,1405,793,0.6675084175084175,0.44251968503937006,2.6725589225589226,0.5322128583933516
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.09906,3513,1501,838,0.7053872053872053,0.42727013948192427,2.957070707070707,0.5321837023347595
PPM_richness/(rmax^2*z_rms) >= 93.548,3031,1363,771,0.648989898989899,0.44968657208841967,2.5513468013468015,0.5312611140390455
PPM_valid,4041,1664,884,0.7441077441077442,0.41177926255877256,3.4015151515151514,0.5301697075332903
PPM_rmax_mean >= 0.9997,4041,1664,884,0.7441077441077442,0.41177926255877256,3.4015151515151514,0.5301697075332903
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.09405,3319,1425,823,0.6927609427609428,0.4293461886110274,2.7937710437710437,0.5301352465861758
PPM_richness/rmax^2 >= 6.388,3030,1365,764,0.6430976430976431,0.4504950495049505,2.5505050505050506,0.529835845691902
PPM_significance >= 2.6151 & PPM_richness >= 6,3285,1428,805,0.6776094276094277,0.434703196347032,2.765151515151515,0.5296334460521798
PPM_richness >= 11,3186,1430,767,0.6456228956228957,0.44883866917765225,2.6818181818181817,0.5295398771080858
PPM_richness/rmax^2 >= 5.003 & PPM_z_rms <= 0.09405,2993,1331,775,0.6523569023569024,0.4447043100567992,2.5193602693602695,0.5288782848044364
