cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.03417,4,4,5,0.004208754208754209,1.0,0.003367003367003367,0.008382229673093043
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.03417,4,4,5,0.004208754208754209,1.0,0.003367003367003367,0.008382229673093043
PPM_richness/rmax^2 >= 16.008 & PPM_z_rms <= 0.03417,1,1,1,0.0008417508417508417,1.0,0.0008417508417508417,0.001682085786375105
PPM_significance >= 5.2171 & PPM_z_rms <= 0.03417,22,18,24,0.020202020202020204,0.8181818181818182,0.018518518518518517,0.03943044906900329
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.03417,11,9,11,0.009259259259259259,0.8181818181818182,0.009259259259259259,0.018311291963377413
PPM_significance >= 5.8001 & PPM_z_rms <= 0.03417,19,15,23,0.01936026936026936,0.7894736842105263,0.015993265993265993,0.03779372295557868
PPM_significance >= 5.2171 & PPM_z_rms <= 0.06272,134,101,121,0.10185185185185185,0.753731343283582,0.1127946127946128,0.1794540461960911
PPM_significance >= 7.1566 & PPM_z_rms <= 0.03417,12,9,17,0.01430976430976431,0.75,0.010101010101010102,0.028083700440528634
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.03417,8,6,6,0.005050505050505051,0.75,0.006734006734006734,0.010033444816053512
PPM_significance >= 5.8001 & PPM_z_rms <= 0.06272,95,70,89,0.07491582491582492,0.7368421052631579,0.07996632996632996,0.13600392948752935
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.03417,19,14,20,0.016835016835016835,0.7368421052631579,0.015993265993265993,0.03291794027745121
PPM_significance >= 5.2171 & PPM_z_rms <= 0.04725,40,29,39,0.03282828282828283,0.725,0.03367003367003367,0.06281239586804399
PPM_significance >= 5.2171 & PPM_z_rms <= 0.05523,70,50,65,0.054713804713804715,0.7142857142857143,0.058922558922558925,0.10164190774042221
PPM_significance >= 5.8001 & PPM_z_rms <= 0.06703,125,87,114,0.09595959595959595,0.696,0.10521885521885523,0.16866486403754913
PPM_significance >= 7.1566 & PPM_z_rms <= 0.06272,59,41,54,0.045454545454545456,0.6949152542372882,0.049663299663299666,0.08532778355879293
PPM_significance >= 5.8001 & PPM_z_rms <= 0.05523,49,34,49,0.041245791245791245,0.6938775510204082,0.041245791245791245,0.07786320192554858
PPM_significance >= 5.2171 & PPM_z_rms <= 0.06703,183,126,147,0.12373737373737374,0.6885245901639344,0.15404040404040403,0.20977524081341423
PPM_significance >= 5.8001 & PPM_z_rms <= 0.04725,32,22,32,0.026936026936026935,0.6875,0.026936026936026935,0.05184094256259204
PPM_significance >= 4.5953 & PPM_z_rms <= 0.03417,31,21,28,0.02356902356902357,0.6774193548387096,0.026094276094276093,0.04555314533622559
PPM_significance >= 7.1566 & PPM_z_rms <= 0.06703,75,50,65,0.054713804713804715,0.6666666666666666,0.06313131313131314,0.10112796577207313
PPM_richness/rmax^2 >= 16.008 & PPM_z_rms <= 0.04725,3,2,2,0.0016835016835016834,0.6666666666666666,0.0025252525252525255,0.003358522250209907
PPM_significance >= 4.5953 & PPM_z_rms <= 0.06272,209,133,159,0.13383838383838384,0.6363636363636364,0.17592592592592593,0.2211624441132638
PPM_significance >= 7.1566 & PPM_z_rms <= 0.05523,30,19,29,0.02441077441077441,0.6333333333333333,0.025252525252525252,0.04700964081563006
PPM_significance >= 5.2171 & PPM_z_rms <= 0.07512,311,196,212,0.17845117845117844,0.6302250803858521,0.2617845117845118,0.2781444541133945
PPM_significance >= 4.5953 & PPM_z_rms <= 0.04725,58,36,53,0.04461279461279461,0.6206896551724138,0.04882154882154882,0.083242441429257
PPM_significance >= 5.8001 & PPM_z_rms <= 0.07512,205,127,154,0.12962962962962962,0.6195121951219512,0.17255892255892255,0.2143976847944049
PPM_significance >= 7.1566 & PPM_z_rms <= 0.04725,21,13,23,0.01936026936026936,0.6190476190476191,0.017676767676767676,0.037546305016638415
PPM_significance >= 7.1566 & PPM_z_rms <= 0.07512,130,79,103,0.0867003367003367,0.6076923076923076,0.10942760942760943,0.15175024710467913
PPM_significance >= 4.5953 & PPM_z_rms <= 0.05523,110,66,87,0.07323232323232323,0.6,0.09259259259259259,0.13053263315828958
PPM_significance >= 4.5953 & PPM_z_rms <= 0.06703,284,169,191,0.16077441077441076,0.5950704225352113,0.23905723905723905,0.25315274335727955
