cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
PPM_significance >= 2.6151 & PPM_richness >= 18,1983,949,604,0.5084175084175084,0.4785678265254665,1.6691919191919191,0.49304129120605006
PPM_significance >= 2.4423 & PPM_richness >= 18,2025,968,608,0.5117845117845118,0.47802469135802467,1.7045454545454546,0.4943288716873622
PPM_significance >= 3.6009 & PPM_richness >= 11,1880,894,605,0.5092592592592593,0.475531914893617,1.5824915824915824,0.4918180363287189
PPM_significance >= 2.269 & PPM_richness >= 18,2053,976,611,0.5143097643097643,0.4754018509498295,1.7281144781144782,0.494091026405305
PPM_significance >= 3.6009 & PPM_richness >= 9,1939,921,623,0.5244107744107744,0.4749871067560598,1.6321548821548821,0.4984768552806187
PPM_richness >= 18,2082,988,613,0.515993265993266,0.4745437079731028,1.7525252525252526,0.49440124734184765
PPM_significance >= 3.0933 & PPM_richness >= 13,2261,1070,646,0.5437710437710438,0.4732419283502875,1.9031986531986531,0.5060609144414273
PPM_significance >= 2.8866 & PPM_richness >= 13,2445,1154,679,0.5715488215488216,0.4719836400817996,2.058080808080808,0.517016390381468
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.0852,1957,918,613,0.515993265993266,0.4690853346959632,1.6473063973063973,0.49142245849206956
PPM_richness/(rmax^2*z_rms) >= 129.487,2020,947,645,0.5429292929292929,0.4688118811881188,1.7003367003367003,0.5031557668735913
PPM_significance >= 3.6009 & PPM_richness >= 7,1994,932,630,0.5303030303030303,0.4674022066198596,1.6784511784511784,0.49686981157941235
PPM_significance >= 3.6009 & PPM_z_rms <= 0.09405,1843,861,613,0.515993265993266,0.4671730873575692,1.5513468013468013,0.4903710675374786
PPM_significance >= 3.0933 & PPM_richness >= 11,2391,1114,664,0.5589225589225589,0.465913843580092,2.0126262626262625,0.5081977124452433
PPM_significance >= 2.8866 & PPM_richness >= 11,2616,1216,705,0.5934343434343434,0.4648318042813456,2.202020202020202,0.5213190598159622
PPM_significance >= 2.6151 & PPM_richness >= 13,2621,1218,706,0.5942760942760943,0.46470812666921024,2.2062289562289563,0.5215657136965073
PPM_significance >= 2.4423 & PPM_richness >= 13,2705,1256,714,0.601010101010101,0.46432532347504624,2.276936026936027,0.5238992399002425
PPM_significance >= 3.6009 & PPM_richness >= 6,2011,933,631,0.5311447811447811,0.46394828443560415,1.6927609427609427,0.4952777152664001
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.09405,2407,1115,678,0.5707070707070707,0.4632322393020357,2.026094276094276,0.5113838148717126
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.08202,1929,893,631,0.5311447811447811,0.4629341627786418,1.6237373737373737,0.4946992712732591
PPM_significance >= 3.0933 & PPM_richness >= 9,2508,1160,689,0.57996632996633,0.4625199362041467,2.111111111111111,0.5146273838637103
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.08998,2225,1029,649,0.5462962962962963,0.46247191011235955,1.8728956228956228,0.5009013766104113
PPM_significance >= 3.6009,2021,934,632,0.531986531986532,0.46214745175655614,1.7011784511784511,0.4946138531562754
PPM_significance >= 2.269 & PPM_richness >= 13,2764,1276,720,0.6060606060606061,0.46164978292329956,2.3265993265993266,0.5240892101696307
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.09906,2549,1176,694,0.5841750841750841,0.46135739505688506,2.1456228956228958,0.5155526020389793
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.0852,2205,1017,678,0.5707070707070707,0.46122448979591835,1.856060606060606,0.510158013544018
PPM_richness >= 13,2829,1304,728,0.6127946127946128,0.4609402615765288,2.3813131313131315,0.5261293376163588
PPM_significance >= 2.8866 & PPM_richness >= 9,2758,1271,733,0.617003367003367,0.4608411892675852,2.3215488215488214,0.5276095959804755
PPM_significance >= 3.6009 & PPM_z_rms <= 0.09906,1945,896,625,0.5260942760942761,0.46066838046272496,1.637205387205387,0.4912123427627098
PPM_richness/rmax^2 >= 7.504,2701,1243,706,0.5942760942760943,0.46019992595335063,2.2735690235690234,0.5187141468085672
PPM_significance >= 2.6151 & PPM_richness >= 11,2850,1301,738,0.6212121212121212,0.45649122807017545,2.398989898989899,0.5262633437913139
