n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit,total_covered_true_clusters,total_candidates_at_i22,candidate_csv,match_csv
1,7138,624,0.9341317365269461,1691,0.23690109274306528,10.68562874251497,2256,1.0305247570145886,0.041530479293952954,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
2,6329,606,0.907185628742515,1607,0.25391057039026704,9.474550898203592,2154,1.028787351699069,0.0405778385504571,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
3,5567,588,0.8802395209580839,1534,0.27555236213400397,8.333832335329342,2070,1.0256355022739632,0.0404446139635051,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
4,5065,581,0.8697604790419161,1477,0.29160908193484697,7.582335329341317,1997,1.0291382934906612,0.0400511900601427,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
5,4600,567,0.8488023952095808,1408,0.3060869565217391,6.88622754491018,1918,1.0239119455710028,0.039619524212948246,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
6,4201,557,0.8338323353293413,1325,0.31540109497738633,6.288922155688622,1808,1.0216169007118476,0.039313522008065746,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
7,3828,545,0.8158682634730539,1251,0.3268025078369906,5.730538922155689,1708,1.0211873292421234,0.03889001122406925,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
8,3504,527,0.7889221556886228,1171,0.334189497716895,5.245508982035928,1613,1.0195496305121077,0.0387591539296222,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
9,3268,515,0.7709580838323353,1112,0.3402692778457772,4.892215568862276,1536,1.0189773021283863,0.03870484171209485,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
10,3070,501,0.75,1059,0.3449511400651466,4.595808383233533,1463,1.0195496305121077,0.0388777031523732,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
